transaction_id,transaction_date,merchant_name,raw_amount,currency,status,risk_score,gateway_region,user_id,payment_method,amount_usd,merchant_id,merchant_category,high_value_flag,high_risk_flag
T001,2026-03-01,Alpha Mart,420000,INR,captured,62.0,APAC,U001,UPI,4998.0,M001,Grocery,0,0
T002,2026-03-01,Alpha Mart,210000,INR,captured,55.0,APAC,U002,Card,2499.0,M001,Grocery,0,0
T003,2026-03-01,Beta Stores,510000,INR,captured,71.0,APAC,U003,NetBanking,6069.0,M002,Electronics,1,1
T004,2026-03-02,Beta Stores,160000,INR,failed,68.0,APAC,U004,Card,1920.0,M002,Electronics,0,0
T005,2026-03-02,Alpha Mart,390000,INR,captured,58.0,APAC,U001,UPI,4680.0,M001,Grocery,0,0
T006,2026-03-02,Beta Stores,275000,INR,captured,64.0,APAC,U005,Wallet,3300.0,M002,Electronics,0,0
T007,2026-03-02,Alpha Mart,450000,INR,chargeback,83.0,APAC,U006,Card,5400.0,M001,Grocery,1,1
T008,2026-03-03,Beta Stores,340000,INR,captured,59.0,APAC,U007,UPI,4114.0,M002,Electronics,0,0
T009,2026-03-03,Alpha Mart,125000,INR,captured,46.0,APAC,U002,Wallet,1512.5,M001,Grocery,0,0
T010,2026-03-03,Beta Stores,610000,INR,captured,77.0,APAC,U003,Card,7381.0,M002,Electronics,1,1
T011,2026-03-03,Alpha Mart,195000,INR,failed,61.0,APAC,U008,UPI,2359.5,M001,Grocery,0,0
T012,2026-03-04,Beta Stores,250000,INR,captured,61.0,APAC,U009,Card,3000.0,M002,Electronics,0,0
T013,2026-03-04,Alpha Mart,310000,INR,captured,54.0,APAC,U010,UPI,3720.0,M001,Grocery,0,0
T014,2026-03-04,Beta Stores,470000,INR,captured,73.0,APAC,U001,NetBanking,5640.0,M002,Electronics,1,1
T015,2026-03-04,Alpha Mart,130000,INR,captured,52.0,APAC,U002,Card,1560.0,M001,Grocery,0,0
T016,2026-03-05,Beta Stores,220000,INR,failed,69.0,APAC,U008,Card,2596.0,M002,Electronics,0,0
T017,2026-03-05,Beta Stores,180000,INR,failed,72.0,APAC,U008,Card,2124.0,M002,Electronics,0,1
T018,2026-03-05,Beta Stores,145000,INR,chargeback,86.0,APAC,U008,UPI,1711.0,M002,Electronics,0,1
T019,2026-03-05,Alpha Mart,260000,INR,failed,67.0,APAC,U008,Wallet,3068.0,M001,Grocery,0,0
T020,2026-03-05,Alpha Mart,520000,INR,captured,75.0,APAC,U005,UPI,6136.0,M001,Grocery,1,1
T021,2026-03-06,Beta Stores,330000,INR,captured,63.0,APAC,U006,Card,3927.0,M002,Electronics,0,0
T022,2026-03-06,Alpha Mart,410000,INR,captured,60.0,APAC,U007,UPI,4879.0,M001,Grocery,0,0
T023,2026-03-01,City Pharma,5200,EUR,captured,42.0,EU,U003,Card,5616.0,M003,Healthcare,0,0
T024,2026-03-02,Eco Home,6100,EUR,chargeback,65.0,EU,U004,Card,6649.0,M005,Home,1,1
T025,2026-03-03,City Pharma,2800,EUR,captured,38.0,EU,U005,Wallet,3024.0,M003,Healthcare,0,0
T026,2026-03-05,Eco Home,3300,EUR,failed,44.0,EU,U006,NetBanking,3597.0,M005,Home,0,0
T027,2026-03-01,Delta Travels,7200,USD,captured,49.0,US,U007,Card,7200.0,M004,Travel,1,0
T028,2026-03-02,Delta Travels,3100,USD,captured,41.0,US,U008,Card,3100.0,M004,Travel,0,0
T029,2026-03-04,Delta Travels,2500,USD,chargeback,58.0,US,U009,Wallet,2500.0,M004,Travel,0,1
T030,2026-03-06,Delta Travels,1800,USD,failed,47.0,US,U010,UPI,1800.0,M004,Travel,0,0
